GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lit-platform-ba-api,com.scholastic.litplatformbaapi.model,LexileStatus,0,46,0,0,0,6,0,2,0,2
lit-platform-ba-api,com.scholastic.litplatformbaapi.model,StudentSrmAssignment,0,14,0,2,0,4,0,3,0,2
lit-platform-ba-api,com.scholastic.litplatformbaapi.model,IdAndNameApiModel,0,33,0,0,0,14,0,7,0,7
lit-platform-ba-api,com.scholastic.litplatformbaapi.service,AssessmentServiceFactory,0,15,0,2,0,6,0,3,0,2
lit-platform-ba-api,com.scholastic.litplatformbaapi.service.support,DemographicsServiceImpl,26,158,1,3,2,31,6,7,5,6
lit-platform-ba-api,com.scholastic.litplatformbaapi.service.support,SrmServiceImpl,0,174,0,14,0,45,0,16,0,8
lit-platform-ba-api,com.scholastic.litplatformbaapi.controller,DemographicsController,0,33,0,0,0,7,0,5,0,5
lit-platform-ba-api,com.scholastic.litplatformbaapi.controller,AssessmentController,0,36,0,2,0,10,0,4,0,3
lit-platform-ba-api,com.scholastic.litplatformbaapi.response,SrmStatus,0,3,0,0,0,1,0,1,0,1
lit-platform-ba-api,com.scholastic.litplatformbaapi.controller.advice,ExceptionHandlerAdvice,0,18,0,0,0,4,0,3,0,3
